user_id	commet-number	song-id
336709629	10	['70285', '26084247', '109560', '353633', '431501854', '431501854', '525565524', '293823', '293823', '386169']
49108179	39	['345203', '345203', '66034', '72101', '211257', '211257', '211257', '211257', '211257', '349615', '108913', '28315642', '28315642', '111128', '109582', '109582', '5249355', '5249355', '5249355', '228792', '431501854', '431501854', '113928', '231039', '563863586', '263010', '28346515', '34248748', '5263822', '192010', '5244837', '5244837', '192010', '302214', '313385', '315924', '330909', '330896', '32450383']
550899945	69	['30413562', '343274', '440796021', '36199463', '352162', '352162', '352162', '444003014', '477769300', '100515', '105721', '105721', '864371574', '352918', '352843', '431501854', '431501854', '354867', '354867', '355669', '355671', '361204', '363664', '29457950', '365791', '368292', '166444', '518894712', '32063833', '525565532', '525565522', '183542', '186665', '186687', '186691', '192278', '192291', '193525', '193530', '535064207', '368500', '29787191', '29787197', '370347', '370282', '370216', '371467', '372690', '379290', '386033', '864107304', '431096628', '436147505', '28095529', '573168411', '573168413', '573168414', '573168415', '573168416', '573168419', '35920847', '35920847', '1316586475', '416385912', '416385912', '394529', '570333079', '31381583', '395895']
60978996	22	['103922', '107833', '109014', '109014', '109014', '109014', '109014', '109014', '110321', '28936108', '29785188', '29785188', '168954', '169756', '169756', '169756', '169756', '194186', '194186', '201449', '29844076', '306558']
17154908	18	['354532', '236308', '254153', '144530', '280364', '280363', '170419', '35617523', '189423', '201449', '300030', '319345', '319351', '319345', '319351', '327096', '208927', '395018']
10259509	13	['203799', '26344079', '28196488', '26344079', '201449', '4877040', '393928', '393939', '393914', '393920', '393928', '393939', '393972']
394274470	37	['87166', '5276250', '111129', '111129', '116103', '116103', '116103', '154480', '257524', '154480', '158616', '158616', '191789', '191789', '191789', '191789', '191789', '191789', '201192', '201239', '201259', '201449', '195401', '195401', '195401', '306818', '306818', '306818', '306818', '306818', '306818', '116103', '116103', '116103', '116103', '330133', '330133']
36839378	10	['34364843', '205616', '113634', '102619', '32845263', '159271', '30064095', '368832', '376329', '186047']
283469158	30	['34364843', '536099160', '81128', '461846471', '461846471', '105522', '569200213', '145300', '145760', '145760', '145760', '466122271', '520458481', '474567044', '492532573', '171101', '27678336', '27678340', '27678338', '31152110', '553546117', '327573', '332206', '34364858', '34364846', '536099160', '542697123', '414002436', '414002436', '414002436']
448272500	126	['34923671', '470639132', '28819203', '428387773', '41665554', '28285188', '399341271', '34364843', '206728', '206728', '33162391', '463415731', '461069771', '212412', '497321808', '426027446', '28592093', '28592093', '475840671', '39443518', '77602', '32957208', '468513453', '474861472', '26609335', '510844747', '104128', '510921356', '229541', '229543', '229543', '229541', '120416', '247523', '355812', '252740', '252740', '481523017', '481523017', '29593921', '29805479', '194405', '523824403', '29732156', '30621014', '432430353', '459954511', '28445966', '29103393', '5279464', '5279464', '490595733', '470777006', '437755309', '32548759', '526695631', '494389119', '27552551', '27552553', '27552546', '29810149', '34152525', '171307', '175335', '436675251', '27937257', '28411635', '27937257', '189542', '189602', '194405', '194405', '201487', '472663147', '196686', '196686', '29825601', '29825704', '29825599', '294763', '294955', '295247', '294955', '295247', '294955', '523824403', '296964', '300094', '300094', '300094', '297587', '30251874', '304673', '483487356', '406070703', '308295', '308295', '308295', '309469', '309469', '28188430', '29379442', '480484756', '457988889', '25657393', '25657395', '34125778', '325145', '325145', '322071', '322084', '322084', '26222185', '25640043', '342377', '29932052', '336735', '508415464', '31517407', '333745', '333745', '333745', '451354832', '515623961', '415085958', '413829647']
9576989	13	['27612177', '34364843', '28724169', '28724169', '112712', '216990', '201164', '201245', '201393', '25640388', '25640388', '26402025', '29999175']
3229103	19	['28461603', '28765215', '29786391', '28853522', '26524262', '28267589', '32922133', '29771070', '28798310', '179004', '192316', '32957623', '28953852', '30053533', '33035807', '29491773', '29129877', '28793806', '28931090']
340511974	13	['393680', '276192', '276192', '276192', '276192', '192305', '192307', '192313', '192316', '192305', '314062', '374753', '29999089']
